antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.011486598967870817,0.012762887742078685,0.010931690805171744,0.9516908212560387,74.56704473850031,1.0,0.010785088632006532,20.435808223738974,0.9980534901255442,0.8208333333333334,0.9510662857543181,0.9041062801932367,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER ROSEMARY'}),0.011098163253981465,0.012818378558348593,0.0105987459075523,0.9550000000000001,74.50240259740261,1.0,0.010456485449660413,21.937369365370067,0.9976496932408998,0.7958333333333335,0.9544156829679596,0.8909199134199135,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER PARSLEY'}),0.011098163253981465,0.012651906109538872,0.010432273458742577,0.94,74.29710526315789,1.0,0.010291860539264869,16.455801564841003,0.9976121883458077,0.7833333333333332,0.9392311583206878,0.8822807017543859,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER ROSEMARY'}),0.011486598967870817,0.012818378558348593,0.010931690805171744,0.9516908212560387,74.24424367902628,1.0,0.01078445123125364,20.43465956384219,0.9979945049778335,0.8174273858921163,0.9510635351239501,0.9022523370349458,"HERB MARKER PARSLEY, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.011264635702791188,0.012818378558348593,0.010709727540092116,0.9507389162561577,74.16998272663298,1.0,0.01056533317533185,20.039786915265548,0.9977568238906107,0.8008298755186722,0.9500992698061955,0.8931183758769967,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.01143110815160091,0.012762887742078685,0.010709727540092116,0.9368932038834953,73.40761924862812,1.0,0.010563833589985673,15.64391116347171,0.9977832035936416,0.7942386831275722,0.936077366487801,0.8880118193330521,"HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.011375617335331002,0.012762887742078685,0.0105987459075523,0.9317073170731708,73.00129374337223,1.0,0.010453560180504626,14.455972000919573,0.9976505029892536,0.7827868852459018,0.9308244371297628,0.8810710498409333,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER PARSLEY'}),0.011375617335331002,0.012651906109538872,0.010487764275012485,0.9219512195121952,72.87053915275995,1.0,0.010343841032547834,12.65039745297154,0.9976256405870235,0.7745901639344263,0.9209511002545534,0.8754492939666239,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY"
frozenset({'HERB MARKER CHIVES '}),frozenset({'HERB MARKER PARSLEY'}),0.011264635702791188,0.012651906109538872,0.010376782642472672,0.9211822660098523,72.80976147264714,1.0,0.010234263529202798,12.52697894123524,0.9975020753513092,0.7663934426229508,0.9201722933605097,0.8706788523031718,HERB MARKER CHIVES ,HERB MARKER PARSLEY,HERB MARKER CHIVES  → HERB MARKER PARSLEY
"frozenset({'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.011264635702791188,0.012651906109538872,0.010376782642472672,0.9211822660098523,72.80976147264714,1.0,0.010234263529202798,12.52697894123524,0.9975020753513092,0.7663934426229508,0.9201722933605097,0.8706788523031718,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY"
